id,parent__id,term.de,term.en,definition.de,definition.en,abbreviations.en,abbreviations.de,synonyms.en,synonyms.de,iris,taxonomyURI,review.status__id,review.reviewer__contactsId,review.log
befidesh/acceleration/accelerating-process/,befidesh/acceleration/accelerating-process,Beschleunigungsprozess,Acceleration Process,Elektrisch geladene Teilchen können durch verschiedene elektromagnetische Prozesse beschleunigt werden.,Electrically charged particles can be accelerated via various electromagnetic processes. ,"","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/induction-acceleration/,befidesh/acceleration/accelerating-process/induction-acceleration,Induktionsbeschleunigung,Induction Acceleration,"Die Induktionsbeschleunigung ist eine Methode zur Beschleunigung geladener Teilchen mit Hilfe zeitlich veränderlicher Magnetfelder, wobei die beschleunigenden elektrischen Felder durch wechselnde Magnetflüsse erzeugt werden. Dieses Prinzip wird in der Regel in Induktionsbeschleunigern angewandt, die entweder linear oder kreisförmig aufgebaut sein können.","Induction acceleration refers to a method of accelerating charged particles using time-varying magnetic fields, where the accelerating electric fields are generated by changing magnetic fluxes. This principle is commonly employed in induction accelerators, which can be either linear or circular in design.","","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/superconducting-cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration,befidesh/acceleration/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/superconducting-cavity-based-acceleration,Resonator-basierte Beschleunigung,Resonator-Based Acceleration,"Bei der hohlraumbasierten Beschleunigung werden Metallkammern verwendet, in denen dynamische elektromagnetische Felder Energie auf Teilchen übertragen, die den Hohlraum durchqueren.",Cavity Based Acceleration uses metallic chambers containing dynamic electromagnetic fields to transfer energy to particles passing through the cavity.,"","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/,befidesh/acceleration/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration,Hochfrequenz-Rresonator-basierte  Beschleunigung,Radio Frequency Resonator Based Acceleration,,,"","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/,befidesh/acceleration/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration,supraleitende Hochfrequenz-Rresonator-basierte Beschleunigung,Superconducting Radio Frequency Resonator Based Acceleration,,,"","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_terahertz-driven_acceleration,befidesh/acceleration/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration,Terahertz-Resonator-basierte Beschleunigung,Terahertz Frequency Resonator Based Acceleration,,,"","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/electrodynamic-acceleration/nanophotonic-acceleration,befidesh/acceleration/accelerating-process/electrodynamic-acceleration,nanophotonische Beschleunigung,Nanophotonic Acceleration,"Nanophotonische Beschleunigung, auch dielektrische Laserbeschleunigung (DLA) genannt, beruht auf der Verwendung ultrakurzer Laserpulse zur Anregung starker dynamischer elektromagnetischer Felder in siliziumbasierten Nanostrukturen. Diese starken Felder können dann Teilchen beschleunigen, die durch die Strukturen hindurchfliegen.","Nanophotonic acceleration, also known as dielectric laser acceleration (DLA), is based on the use of ultrashort laser pulses to excite strong dynamic electromagnetic fields in silicon-based nanostructures. These strong fields can then accelerate particles that fly through the structures.","","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/electrostatic-acceleration,befidesh/acceleration/accelerating-process,Elektrostatische Beschleunigung,Electrostatic Acceleration,"Geladene Teilchen werden beschleunigt, wenn zwischen einem Elektrodenpaar ein statisches Hochspannungspotenzial herrscht. Dieses Prinzip wird von [elektrostatischen Beschleunigern](#/accelerator/electrostatic-accelerator/) genutzt.",Charged particles are accelerated when there is a static high voltage potential between a pair of electrodes. This process is utilized by [electrostatic accelerators](#/accelerator/electrostatic-accelerator/).,"","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/plasma-based-acceleration/,befidesh/acceleration/accelerating-process/plasma-based-acceleration,Plasmabasierte Beschleunigung,Plasma-Based Acceleration,"In Plasmen, ionisierten Gasen aus geladenen Teilchen, können extrem starke elektrische Felder erzeugt werden, wenn sie durch äußere Antriebskräfte wie Laserpulse oder Teilchenstrahlen gestört werden. Diese Felder können genutzt werden, um Teilchen auf hohe Energien zu beschleunigen.","Inside plasmas, ionised gases of charged particles, extremely strong electric fields can be generated when perturbed by external driving forces such as laser pulses or particle beams. These fields can be used to accelerate particles to high energies.","","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/plasma-based-acceleration/plasma-based_beam-driven_acceleration,befidesh/acceleration/accelerating-process/plasma-based-acceleration,plasmabasierte teilchenstrahlgetriebene Beschleunigung,Plasma-Based Beam-Driven Acceleration,"Plasmabasierte Beschleunigung unter Verwendung eines externen Teilchenstrahls als störende Antriebskraft,","Plasma-based acceleration using an external particle beam as the perturbative driving force,",PWFA,PWFA,"Plasma wakefield acceleration,PWFA",Plasma wakefield Beschleunigung,"",befidesh,01: preparation,,
